date,bitcoin,ethereum,tether,usd-coin,binancecoin,binance-usd,ripple,cardano,solana,dogecoin,polkadot,dai,shiba-inu,tron,avalanche-2,leo-token,wrapped-bitcoin,staked-ether,matic-network,ftx-token,litecoin,okb,chainlink,crypto-com-chain,stellar,cosmos,near,uniswap,monero,algorand,ethereum-classic,bitcoin-cash,chain-2,theta-fuel,vechain,flow,the-sandbox,apecoin,internet-computer,tezos,decentraland,frax,hedera-hashgraph,filecoin,theta-token,axie-infinity,elrond-erd-2,true-usd,bitcoin-cash-sv,eos
2013-04-28,135.3,,,,,,,,,,,,,,,,,,,,4.29983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,141.96,,,,,,,,,,,,,,,,,,,,4.3594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,135.3,,,,,,,,,,,,,,,,,,,,4.18295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,117.0,,,,,,,,,,,,,,,,,,,,3.64914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-02,103.43,,,,,,,,,,,,,,,,,,,,3.38879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-03,91.01,,,,,,,,,,,,,,,,,,,,2.78957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-04,111.25,,,,,,,,,,,,,,,,,,,,3.51708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-05,116.79,,,,,,,,,,,,,,,,,,,,3.63013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-06,118.33,,,,,,,,,,,,,,,,,,,,3.50733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-07,106.4,,,,,,,,,,,,,,,,,,,,3.21463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-08,112.64,,,,,,,,,,,,,,,,,,,,3.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-09,113.0,,,,,,,,,,,,,,,,,,,,3.4239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-10,118.78,,,,,,,,,,,,,,,,,,,,3.50018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-11,113.01,,,,,,,,,,,,,,,,,,,,3.38675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-12,114.713,,,,,,,,,,,,,,,,,,,,3.24093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,117.18,,,,,,,,,,,,,,,,,,,,3.20229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,114.5,,,,,,,,,,,,,,,,,,,,3.0673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,114.156,,,,,,,,,,,,,,,,,,,,2.93058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-16,115.5,,,,,,,,,,,,,,,,,,,,2.86922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-17,123.1,,,,,,,,,,,,,,,,,,,,3.15827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-18,123.88,,,,,,,,,,,,,,,,,,,,3.32471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-19,120.501,,,,,,,,,,,,,,,,,,,,3.27158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-20,122.58,,,,,,,,,,,,,,,,,,,,3.18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-21,122.9,,,,,,,,,,,,,,,,,,,,3.08331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-22,123.0,,,,,,,,,,,,,,,,,,,,3.0921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-23,125.748,,,,,,,,,,,,,,,,,,,,3.1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-24,131.7,,,,,,,,,,,,,,,,,,,,3.14642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-25,130.77,,,,,,,,,,,,,,,,,,,,3.1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-26,134.6,,,,,,,,,,,,,,,,,,,,3.2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-27,128.985,,,,,,,,,,,,,,,,,,,,3.11957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-28,129.179,,,,,,,,,,,,,,,,,,,,3.09213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-29,132.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-30,127.401,,,,,,,,,,,,,,,,,,,,3.07544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,127.98,,,,,,,,,,,,,,,,,,,,2.94667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,129.09,,,,,,,,,,,,,,,,,,,,2.94623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-02,121.3,,,,,,,,,,,,,,,,,,,,2.8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-03,121.16,,,,,,,,,,,,,,,,,,,,2.6895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-04,,,,,,,,,,,,,,,,,,,,,2.7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,121.309,,,,,,,,,,,,,,,,,,,,2.98423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-06,121.714,,,,,,,,,,,,,,,,,,,,2.83148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-07,119.0,,,,,,,,,,,,,,,,,,,,2.7589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-08,110.09,,,,,,,,,,,,,,,,,,,,2.5823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,108.401,,,,,,,,,,,,,,,,,,,,2.53026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-10,99.7497,,,,,,,,,,,,,,,,,,,,2.31937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-11,105.99,,,,,,,,,,,,,,,,,,,,2.48252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-12,108.9,,,,,,,,,,,,,,,,,,,,2.39022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
